GradeAvg,SoftwareXP,ElectronicsXP,MechanicalXP,ManagementXP,Projects,Languages,Master,Payment
2.5,0,9,0,5,2,2,1,15000
2.2,1,5,0,2,2,1,0,12000
3.2,2,14,0,6,5,1,0,19500
3.3,0,2,13,4,5,2,0,13000
2.4,2,0,0,0,1,1,0,9000
3,9,11,0,0,0,5,0,14000
1.7,0,6,0,2,0,1,0,9400
3.1,10,1,0,4,4,3,1,18208
3.4,0,1,12,0,2,1,0,15500
3,1,0,0,0,1,2,0,8700
3.1,5,5,0,0,5,3,0,14700
1.8,2,1,0,0,1,1,0,8800
3.6,0,0,16,0,5,2,1,17000
1.7,0,12,0,3,4,4,0,15000
3.2,3,0,0,0,1,1,0,9300
3.6,0,0,0,0,2,2,0,10000
3,14,0,0,0,5,2,0,16000
2.8,0,7,0,2,5,2,1,15400
2.9,0,0,3,0,0,2,0,8728
2.6,4,2,1,4,0,5,0,18300
2.9,0,10,2,7,2,1,1,17626
3.1,0,0,0,0,0,1,0,8500
2.6,3,2,0,0,4,2,1,13400
2.2,0,0,15,10,5,2,1,19700
2.7,13,1,0,4,5,2,1,18850
